year,variable,region,value,unit,model
1990,temperature,north_america,13.4,°C,CMIP6-CESM2
1991,temperature,north_america,13.6,°C,CMIP6-CESM2
1992,temperature,north_america,13.3,°C,CMIP6-CESM2
1993,temperature,north_america,13.7,°C,CMIP6-CESM2
1994,temperature,north_america,13.9,°C,CMIP6-CESM2
1995,temperature,north_america,14.1,°C,CMIP6-CESM2
1996,temperature,north_america,14.0,°C,CMIP6-CESM2
1997,temperature,north_america,14.3,°C,CMIP6-CESM2
1998,temperature,north_america,14.7,°C,CMIP6-CESM2
1999,temperature,north_america,14.4,°C,CMIP6-CESM2
2000,temperature,north_america,14.5,°C,CMIP6-CESM2
2001,temperature,north_america,14.8,°C,CMIP6-CESM2
2002,temperature,north_america,15.0,°C,CMIP6-CESM2
2003,temperature,north_america,15.2,°C,CMIP6-CESM2
2004,temperature,north_america,15.1,°C,CMIP6-CESM2
2005,temperature,north_america,15.4,°C,CMIP6-CESM2
2006,temperature,north_america,15.5,°C,CMIP6-CESM2
2007,temperature,north_america,15.7,°C,CMIP6-CESM2
2008,temperature,north_america,15.4,°C,CMIP6-CESM2
2009,temperature,north_america,15.6,°C,CMIP6-CESM2
2010,temperature,north_america,15.9,°C,CMIP6-CESM2
2011,temperature,north_america,15.8,°C,CMIP6-CESM2
2012,temperature,north_america,16.1,°C,CMIP6-CESM2
2013,temperature,north_america,16.0,°C,CMIP6-CESM2
2014,temperature,north_america,16.2,°C,CMIP6-CESM2
2015,temperature,north_america,16.5,°C,CMIP6-CESM2
2016,temperature,north_america,16.8,°C,CMIP6-CESM2
2017,temperature,north_america,16.6,°C,CMIP6-CESM2
2018,temperature,north_america,16.7,°C,CMIP6-CESM2
2019,temperature,north_america,16.9,°C,CMIP6-CESM2
2020,temperature,north_america,17.1,°C,CMIP6-CESM2
1990,temperature,europe,11.2,°C,CMIP6-CESM2
1991,temperature,europe,11.0,°C,CMIP6-CESM2
1992,temperature,europe,11.3,°C,CMIP6-CESM2
1993,temperature,europe,11.5,°C,CMIP6-CESM2
1994,temperature,europe,11.8,°C,CMIP6-CESM2
1995,temperature,europe,11.7,°C,CMIP6-CESM2
1996,temperature,europe,11.4,°C,CMIP6-CESM2
1997,temperature,europe,11.9,°C,CMIP6-CESM2
