date,year,month,region,region_label,longitude,latitude,sst_anomaly,enso_phase,source
1996-01,1996,1,western_pacific,Western Pacific,145,0,-0.204,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-01,1996,1,central_pacific,Central Pacific,190,0,-1.252,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-01,1996,1,nino_34,Nino 3.4,210,0,-1.350,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-01,1996,1,eastern_pacific,Eastern Pacific,250,0,-2.000,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-02,1996,2,western_pacific,Western Pacific,145,0,-0.168,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-02,1996,2,central_pacific,Central Pacific,190,0,-1.375,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-02,1996,2,nino_34,Nino 3.4,210,0,-1.571,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-02,1996,2,eastern_pacific,Eastern Pacific,250,0,-1.130,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-03,1996,3,western_pacific,Western Pacific,145,0,0.257,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-03,1996,3,central_pacific,Central Pacific,190,0,-1.153,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-03,1996,3,nino_34,Nino 3.4,210,0,-1.238,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-03,1996,3,eastern_pacific,Eastern Pacific,250,0,-0.425,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-04,1996,4,western_pacific,Western Pacific,145,0,-0.008,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-04,1996,4,central_pacific,Central Pacific,190,0,-0.648,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-04,1996,4,nino_34,Nino 3.4,210,0,-0.929,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-04,1996,4,eastern_pacific,Eastern Pacific,250,0,-0.184,La Niña,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-05,1996,5,western_pacific,Western Pacific,145,0,0.205,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-05,1996,5,central_pacific,Central Pacific,190,0,-0.710,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-05,1996,5,nino_34,Nino 3.4,210,0,-0.397,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-05,1996,5,eastern_pacific,Eastern Pacific,250,0,0.092,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-06,1996,6,western_pacific,Western Pacific,145,0,-0.033,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-06,1996,6,central_pacific,Central Pacific,190,0,-0.320,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-06,1996,6,nino_34,Nino 3.4,210,0,0.019,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-06,1996,6,eastern_pacific,Eastern Pacific,250,0,0.939,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-07,1996,7,western_pacific,Western Pacific,145,0,0.074,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-07,1996,7,central_pacific,Central Pacific,190,0,-0.173,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-07,1996,7,nino_34,Nino 3.4,210,0,0.305,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-07,1996,7,eastern_pacific,Eastern Pacific,250,0,1.633,Neutral,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-08,1996,8,western_pacific,Western Pacific,145,0,0.136,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-08,1996,8,central_pacific,Central Pacific,190,0,0.176,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-08,1996,8,nino_34,Nino 3.4,210,0,0.596,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-08,1996,8,eastern_pacific,Eastern Pacific,250,0,1.740,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
1996-09,1996,9,western_pacific,Western Pacific,145,0,0.165,El Niño,CMIP6 CESM2 historical Omon/tos nearest equatorial grid point
